"","time","device","location","lat","long","B1dw","B1uw","B2dw","B2uw","B3dw","B3uw","B4dw","B4uw","B5dw","B5uw","B6dw","B6uw","B7dw","B7uw","LWdw","LWuw","LfW","P","SLP","PARdw","PARuw","RH","SWdw","SWuw","Tabove","Tair","Tbelow","Tdew","prate","precip","datetime"
"4049",2018-06-09 12:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,10.5546,0.690737,17.6842,0.812293,18.7888,1.30598,20.5791,2.40064,11.5416,1.76146,15.399,2.33846,2.51707,0.435973,351.656,-443.217,NA,990.02502441,1019.91367706,645.342,-72.6766,45.3268826,479.956,-75.7258,7.42784,18.3068,24.1376,6.2641,NA,NA,2018-06-09 12:00:00
"4048",2018-06-09 13:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,15.1097,0.884023,25.6048,1.03508,26.7259,1.6387,30.732,3.14079,16.9748,2.35733,21.791,2.98584,3.71096,0.575582,346.312,-461.318,NA,989.64996338,1019.36211672,900.071,-91.2728,39.93243277,669.404,-95.1022,6.35628,19.9029,27.1315,5.8787,NA,NA,2018-06-09 13:00:00
"4047",2018-06-09 14:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,19.5956,1.06034,33.5253,1.26312,34.6823,1.98532,41.1312,3.94339,22.4981,3.01469,28.1527,3.72061,4.87596,0.722899,345.623,-473.905,NA,989.12498474,1018.74549812,1108.23,-107.193,38.20244968,824.212,-111.69,6.2113,20.6431,29.1596,5.89541,NA,NA,2018-06-09 14:00:00
"4046",2018-06-09 15:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,21.2708,1.1323,36.5553,1.36477,37.3264,2.12814,45.3833,4.34479,25.2929,3.42407,31.4073,4.13516,5.33482,0.790388,351.399,-481.919,NA,988.86665344,1018.41376172,1216.25,-117.052,36.82570755,904.55,-121.963,7.37055,21.2875,30.4299,5.931,NA,NA,2018-06-09 15:00:00
"4045",2018-06-09 16:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,22.5193,1.20027,39.0594,1.46609,39.3177,2.26821,49.0525,4.74154,27.6421,3.83474,34.0033,4.53258,5.5145,0.828307,344.945,-492.448,NA,988.55003357,1017.94712711,1255.13,-122.723,35.96875072,933.471,-127.872,6.07249,22.6787,32.0714,6.79537,NA,NA,2018-06-09 16:00:00
"4044",2018-06-09 17:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,14.6132,0.859195,24.6978,1.00694,25.1608,1.5759,29.5444,3.07439,16.9119,2.51585,22.1145,3.17205,3.49528,0.564827,356.281,-471.904,NA,988.09165955,1017.57913833,849.013,-89.2694,36.62169278,631.43,-93.0147,8.34357,21.6448,28.84,6.17731,NA,NA,2018-06-09 17:00:00
"4043",2018-06-09 18:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,17.0417,1.00166,29.4059,1.19667,29.6502,1.87053,35.7128,3.72546,19.7361,2.98188,25.3112,3.68383,4.08086,0.668206,346.288,-474.028,NA,987.51663208,1016.99443924,990.764,-105.064,36.52935922,736.853,-109.472,6.34398,21.5724,29.1807,6.07442,NA,NA,2018-06-09 18:00:00
"4042",2018-06-09 19:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,14.811,0.906671,25.5381,1.08339,25.7691,1.70088,30.7958,3.35586,16.8679,2.67997,21.9073,3.33882,3.49289,0.602295,342.676,-470.804,NA,986.99996948,1016.45930254,846.862,-94.5994,36.3371402,629.831,-98.5683,5.6162,21.6009,28.665,6.02575,NA,NA,2018-06-09 19:00:00
"4041",2018-06-09 20:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,10.7354,0.698239,18.4256,0.828903,18.7189,1.31071,21.7914,2.52172,11.9693,2.01334,16.0182,2.58017,2.47232,0.4513,355.978,-466.995,NA,986.69166565,1016.05365197,613.781,-72.8317,37.51094937,456.483,-75.8874,8.28754,22.4727,28.0529,7.25408,NA,NA,2018-06-09 20:00:00
"4040",2018-06-09 21:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,8.28533,0.57577,14.4288,0.697868,14.6779,1.10506,17.1185,2.13928,9.01728,1.70802,12.1157,2.20357,1.84844,0.377311,356.477,-467.333,NA,986.21665955,1015.48235957,476.221,-62.0416,36.36467457,354.176,-64.6446,8.38488,23.2905,28.1066,7.52406,NA,NA,2018-06-09 21:00:00
"4039",2018-06-09 22:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,3.46006,0.247716,5.70738,0.302002,5.94728,0.486317,6.44281,0.90668,3.65556,0.762946,5.26571,1.05342,0.778909,0.172789,365.884,-455.286,NA,986.32499695,1015.59462806,190.421,-27.0214,38.12833428,141.62,-28.1551,10.2244,23.2831,26.1462,8.21707,NA,NA,2018-06-09 22:00:00
"4038",2018-06-09 23:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,1.39249,0.107907,2.16917,0.114161,2.2563,0.18931,2.35052,0.342336,1.43026,0.302494,2.12665,0.431539,0.312494,0.0711209,363.753,-444.303,NA,986.67503357,1016.05069823,72.5748,-10.5077,42.73979962,53.9755,-10.9485,9.81238,22.3323,24.319,9.04455,NA,NA,2018-06-09 23:00:00
"4037",2018-06-10 00:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.147421,0.0439159,0.157147,0.0296877,0.166245,0.0471984,0.167558,0.0791957,0.0949962,0.0454287,0.186925,0.101544,0.0236315,0.0142522,355.829,-428.547,NA,986.83334351,1016.35549738,5.20096,-2.53917,47.97045887,3.86808,-2.6457,8.25394,20.9337,21.65,9.48378,NA,NA,2018-06-10 00:00:00
"4036",2018-06-10 01:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0536259,0.0419303,0.0410615,0.026949,0.0566178,0.0416248,0.089074,0.0710614,0.0297456,0.0368642,0.110244,0.0910876,0.0108775,0.0117579,348.642,-420.661,NA,987.36663818,1017.01522985,1.69365,-2.22024,52.62957215,1.25961,-2.31339,6.82643,19.854,20.2857,9.88441,NA,NA,2018-06-10 01:00:00
"4035",2018-06-10 02:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0528541,0.03862,0.0392243,0.0250972,0.0567355,0.0415201,0.0811314,0.0708667,0.0295083,0.0348504,0.101524,0.0863599,0.0102614,0.0114189,347.146,-415.808,NA,987.44163513,1017.20886631,1.73371,-2.21476,56.64806962,1.28939,-2.30769,6.52527,18.7253,19.4356,9.92765,NA,NA,2018-06-10 02:00:00
"4034",2018-06-10 03:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0514194,0.0389504,0.0385562,0.0258381,0.0541705,0.040049,0.0839447,0.0662201,0.0288774,0.0332864,0.103639,0.0923312,0.0100201,0.012097,346.106,-412.467,NA,987.58331299,1017.43364545,1.66965,-2.13785,60.04543304,1.24176,-2.22755,6.31499,17.9655,18.8461,10.0907,NA,NA,2018-06-10 03:00:00
"4033",2018-06-10 04:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0500951,0.0395028,0.0374719,0.025542,0.0491599,0.0401538,0.0804697,0.0689307,0.0280098,0.0344044,0.0994074,0.0873555,0.0103416,0.0116613,337.08,-407.078,NA,987.88330078,1017.84063937,1.65763,-2.1269,61.94490194,1.23281,-2.21613,4.47354,17.0281,17.8871,9.65556,NA,NA,2018-06-10 04:00:00
"4032",2018-06-10 05:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0498732,0.0389514,0.037639,0.0252458,0.051956,0.0388923,0.0819579,0.0658315,0.0276148,0.0338822,0.100202,0.0928295,0.0098595,0.0114194,334.793,-405.325,NA,987.92503357,1017.90484774,1.69363,-2.07737,54.59052324,1.25959,-2.16453,4.00304,16.825,17.5734,7.61948,NA,NA,2018-06-10 05:00:00
"4031",2018-06-10 06:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0487704,0.0400547,0.0378889,0.0245056,0.0493931,0.0383661,0.0798094,0.0671859,0.0276156,0.0331373,0.0920052,0.0843698,0.00908231,0.0112254,331.285,-401.59,NA,987.89169312,1017.93952453,1.65762,-2.0774,54.73156571,1.23281,-2.16456,3.27405,16.1686,16.9013,7.04601,NA,NA,2018-06-10 06:00:00
"4030",2018-06-10 07:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0492123,0.0377372,0.0363024,0.0250976,0.049743,0.0386823,0.0769992,0.0685429,0.0280102,0.0338828,0.0941216,0.0843664,0.00964514,0.0114192,332.482,-399.624,NA,987.89169312,1017.9885185,1.6376,-2.04986,53.51931453,1.21792,-2.13587,3.52285,15.7048,16.5455,6.28932,NA,NA,2018-06-10 07:00:00
"4029",2018-06-10 08:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.0505365,0.0401642,0.0365535,0.0248021,0.0490438,0.0383666,0.0784889,0.0646701,0.0300623,0.0341069,0.100993,0.0816299,0.00996705,0.0112254,329.462,-396.091,NA,987.69996643,1017.84772142,1.62557,-2.09941,51.96580887,1.20897,-2.18749,2.89296,15.1697,15.9029,5.36903,NA,NA,2018-06-10 08:00:00
"4028",2018-06-10 09:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.585909,0.0490968,0.940489,0.0629297,0.995863,0.107952,0.967135,0.193048,0.74065,0.195091,1.24078,0.321311,0.20075,0.0581276,332.747,-397.345,NA,987.8666687,1018.04282745,32.8976,-6.23215,50.32464266,24.4667,-6.49363,3.57541,14.9505,16.1293,4.69256,NA,NA,2018-06-10 09:00:00
"4027",2018-06-10 10:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,2.5087,0.170588,4.03505,0.224249,4.25762,0.373567,4.22509,0.646119,2.71189,0.558213,4.23201,0.853903,0.720954,0.162435,342.711,-407.577,NA,988.09997559,1018.23767398,141.724,-20.5211,49.07043278,105.403,-21.3821,5.62745,15.3794,17.9765,4.7367,NA,NA,2018-06-10 10:00:00
"4026",2018-06-10 11:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,5.3415,0.355628,8.57473,0.405584,9.04901,0.662729,9.25243,1.13055,5.30328,0.889664,7.74063,1.27669,1.39381,0.257552,348.898,-417.021,NA,987.99163818,1018.06962591,297.014,-35.8921,48.97885025,220.896,-37.398,6.87296,15.9141,19.6413,5.1997,NA,NA,2018-06-10 11:00:00
"4025",2018-06-10 12:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,9.19878,0.581108,15.4433,0.684154,16.1989,1.09803,17.5997,2.00234,10.0636,1.56622,13.8567,2.12337,2.49609,0.429158,355.885,-439.226,NA,988.06663513,1017.91487317,531.708,-60.0532,43.92368197,395.443,-62.5728,8.26688,18.1264,23.4661,5.62458,NA,NA,2018-06-10 12:00:00
"4024",2018-06-10 13:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,12.6055,0.754663,21.5701,0.896426,22.4327,1.43261,25.2092,2.68395,14.3504,2.12166,19.2457,2.78699,3.44059,0.56006,348.671,-451.798,NA,988.00834656,1017.81497249,734.085,-78.5719,35.58694124,545.955,-81.8684,6.82804,18.5097,25.5716,2.99843,NA,NA,2018-06-10 13:00:00
"4023",2018-06-10 14:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,11.2522,0.68,19.052,0.80835,19.74,1.28493,22.0899,2.4047,12.9033,1.99633,17.7152,2.66251,3.02382,0.511978,357.157,-453.759,NA,987.96669006,1017.68411598,641.388,-70.6357,34.59551632,477.015,-73.5992,8.51808,19.3617,25.8951,3.34493,NA,NA,2018-06-10 14:00:00
"4022",2018-06-10 15:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,9.76166,0.604348,16.4052,0.715438,16.9937,1.14049,18.8445,2.11227,11.3401,1.81357,15.9072,2.46357,2.63376,0.460065,359.205,-454.89,NA,987.86361694,1017.49414503,550.863,-62.4975,32.46140778,409.689,-65.1196,8.92221,20.1759,26.0821,3.15176,NA,NA,2018-06-10 15:00:00
"4021",2018-06-10 16:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,10.988,0.67534,18.5563,0.805587,19.0863,1.27565,21.5913,2.41509,12.9546,2.0737,17.8163,2.74882,2.93395,0.511317,364.032,-465.383,NA,987.63336182,1017.03255827,620.177,-70.0604,28.12571526,461.24,-72.9998,9.86519,22.3846,27.7914,3.02685,NA,NA,2018-06-10 16:00:00
"4020",2018-06-10 17:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,14.222,0.841891,24.3435,1.00714,24.7819,1.58554,28.9534,3.08639,16.7971,2.57816,22.2177,3.28389,3.71274,0.619075,359.013,-475.695,NA,987.17498779,1016.64042084,809.434,-87.5836,30.47079146,601.994,-91.2582,8.88335,21.5955,29.4441,3.48887,NA,NA,2018-06-10 17:00:00
"4019",2018-06-10 18:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,14.5981,0.866045,25.2061,1.04181,25.5523,1.63769,30.1355,3.20588,17.1569,2.64554,22.5101,3.34244,3.75871,0.628709,348.506,-477.165,NA,986.53335571,1016.09822221,835.528,-90.6851,33.79351795,621.401,-94.4899,6.79644,20.431,29.6797,3.93757,NA,NA,2018-06-10 18:00:00
